   45554543 function calls (45554384 primitive calls) in 88.291 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       12    0.000    0.000    0.001    0.000 __init__.py:1377(makeRecord)
       12    0.000    0.000    0.001    0.000 __init__.py:243(__init__)
      302    0.001    0.000    0.001    0.000 sre_parse.py:247(get)
       32    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:246(cache_from_source)
      400    0.001    0.000    0.001    0.000 world.py:13(<listcomp>)
       17    0.001    0.000    0.001    0.000 {method 'read' of '_io.FileIO' objects}
       95    0.001    0.000    0.001    0.000 agent.py:20(__str__)
        1    0.000    0.000    0.001    0.001 link.py:1(<module>)
       95    0.000    0.000    0.001    0.000 link.py:70(remove_first_waiting)
        1    0.000    0.000    0.001    0.001 __init__.py:356(namedtuple)
       33    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:406(cached)
       95    0.000    0.000    0.001    0.000 __init__.py:1257(debug)
       17    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:342(_get_cached)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:78(_path_is_mode_type)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:87(_path_isfile)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:163(__enter__)
        1    0.000    0.000    0.000    0.000 {built-in method posix.open}
        1    0.000    0.000    0.000    0.000 world.py:6(<dictcomp>)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:419(_validate_bytecode_header)
      400    0.000    0.000    0.000    0.000 node.py:10(<dictcomp>)
      164    0.000    0.000    0.000    0.000 sre_compile.py:101(fixup)
      468    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       12    0.000    0.000    0.000    0.000 __init__.py:1347(findCaller)
      401    0.000    0.000    0.000    0.000 world.py:6(<genexpr>)
      107    0.000    0.000    0.000    0.000 __init__.py:1515(isEnabledFor)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
      401    0.000    0.000    0.000    0.000 chinese_capital.py:91(<genexpr>)
      363    0.000    0.000    0.000    0.000 sre_parse.py:226(__next)
       12    0.000    0.000    0.000    0.000 __init__.py:819(format)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:826(path_stats)
      272    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(__exit__)
       12    0.000    0.000    0.000    0.000 __init__.py:554(format)
      284    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.000    0.000 chinese_capital.py:91(<dictcomp>)
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
       52    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1064(_path_importer_cache)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(_get_module_lock)
       77    0.000    0.000    0.000    0.000 sre_parse.py:157(__getitem__)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1210(_get_spec)
      217    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:366(_verbose_message)
      194    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.000    0.000 token.py:74(<dictcomp>)
      179    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       12    0.000    0.000    0.000    0.000 __init__.py:957(flush)
    35/15    0.000    0.000    0.000    0.000 sre_parse.py:167(getwidth)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1260(_fill_cache)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:716(find_spec)
       21    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        3    0.000    0.000    0.000    0.000 sre_compile.py:412(_compile_info)
        1    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:56(_path_split)
        1    0.000    0.000    0.000    0.000 {method 'write' of '_io.FileIO' objects}
      124    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       55    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:852(__enter__)
